code;Day of Max;Day of Min;Amplitude Max;Amplitude Min
aaa;274;95;none;none
aae;333;132;none;none
abg;364;59;none;none
abk;181;1;none;none
aia;199;14;1.6074895505081577;-1.930308761624612
ale;194;58;28.574857847604036;-20.71090076525417
ams;105;278;none;none
api;338;54;none;none
aqu;275;91;1.1475311080092692;-1.004120369486543
asc;57;182;none;none
asp;364;246;none;none
bdv;364;213;none;none
bel;250;138;none;none
bfe;234;89;0.5370837162801094;-0.6025775635203854
bfo;364;208;none;none
blc;192;59;none;none
bmt;183;361;none;none
bng;328;162;1.6667427019114855;-2.052500167296325
bou;1;364;none;none
box;346;136;1.9952388380373296;-2.242897704681018
brw;136;332;none;none
bsl;66;312;none;none
cbb;225;65;7.482917141450181;-5.863456080807895
cki;2;108;0.7417623689478786;-0.3726731534009311
clf;222;16;none;none
cmo;62;283;none;none
cnb;118;282;2.539853297107086;-2.523085260266215
cpl;174;0;30.14776761716829;-22.9087945344328
csy;50;237;none;none
cta;364;20;none;none
czt;22;234;1.7928932624728648;-1.664716673619764
dlr;104;354;6.420938407375029;-6.453450728941436
dlt;7;191;1.2172585339701592;-0.8158439275442675
dou;42;264;none;none
drv;32;121;4.198933969559112;-1.4312829917775187
dur;0;200;5.718529439471853;-7.733643306983553
ebr;0;360;none;none
esk;7;301;none;none
eyr;155;364;none;none
fcc;193;73;none;none
frd;49;219;none;none
frn;364;0;none;none
fur;54;228;1.261341178870937;-1.5257778330532157
gan;93;0;none;none
gck;110;279;10.63132521647217;-14.095595987612803
gdh;8;325;none;none
gln;110;225;8.541352225263715;-5.305932837984194
gna;115;278;5.399660034414272;-4.514132316311671
gng;358;48;none;none
gua;361;1;none;none
gui;0;364;none;none
gzh;334;76;2.882502968864646;-2.918479367749825
had;69;252;none;none
hbk;264;364;none;none
her;184;52;none;none
hlp;248;40;0.9561088023003464;-1.0482378560323968
hon;41;364;none;none
hrb;4;184;none;none
hrn;246;125;2.6650263437324573;-2.335425459573052
hua;198;364;0.9718325470985454;-0.7096540494776377
hyb;212;91;none;none
ipm;321;80;2.2053390516141294;-2.068164316730162
iqa;99;265;3.59987803678425;-3.3956672072629206
irt;364;201;3.515111707731138;-2.413695978596552
jco;73;163;none;none
kak;70;236;1.000473102886372;-1.201200036541639
kdu;306;228;none;none
kep;80;302;0.3009081378344275;-0.379649101960492
khb;180;129;none;none
kiv;28;186;2.710107806469103;-3.49318926707422
kmh;210;39;1.5384561762057114;-1.6593470063996545
kny;32;230;none;none
kou;211;0;none;none
ler;77;234;none;none
lon;167;0;0.3358809113330044;-1.0519133936929153
lov;112;278;1.2874550088487904;-1.517682173432552
lrm;92;228;none;none
lvv;267;195;none;none
lzh;0;209;none;none
mab;237;54;none;none
maw;212;25;none;none
mbo;284;84;1.5556688716451326;-1.2509163131172447
mcq;340;117;none;none
mea;19;217;2.7719675122355425;-2.620269665331623
mgd;93;283;1.594066354734013;-1.8665224873080544
mid;43;51;1.7236190430663574;-2.0041000545364067
mmb;66;351;none;none
naq;103;337;none;none
nck;58;242;4.672330340994002;-5.961994484920867
new;96;364;none;none
ngk;1;238;none;none
nur;114;348;none;none
nvs;51;277;2.869324108269545;-3.175237984913837
ott;105;220;1.6824158366767583;-2.494923452206542
paf;145;20;none;none
pag;102;364;none;none
pbq;89;0;3.5146254820816862;-2.517674208004024
peg;103;180;0.3953206857426168;-0.4245603469531267
pet;54;232;none;none
phu;344;171;none;none
pil;260;59;3.557682084873645;-3.185207239869205
ppt;177;284;none;none
pst;333;0;none;none
qsb;93;258;none;none
res;105;209;none;none
sba;243;17;28.28047516861557;-38.103962896634656
sbl;364;237;0.995316034379394;-0.8601127472744323
sfs;355;197;0.7487789842938734;-0.494609454945311
she;4;341;none;none
shu;360;1;none;none
sit;221;315;none;none
sjg;17;364;none;none
sod;264;105;none;none
spt;152;349;2.3696396202605343;-3.015998559947032
stj;358;235;none;none
sua;307;8;none;none
tam;269;2;0.8101669073876536;-1.702589054828079
tan;215;71;1.8891012979113255;-1.428208373774049
tdc;236;22;none;none
thl;292;82;0.350085468775375;-0.3794869560489265
thy;284;83;none;none
trw;364;0;none;none
tsu;180;314;none;none
tuc;1;239;4.993866930626546;-4.200090510333002
ups;364;221;0.1662044345806575;-0.1786453699408722
val;361;226;none;none
vic;3;240;none;none
vna;300;363;none;none
vos;292;59;6.2872966239277535;-8.346196149125692
vss;179;363;none;none
wng;95;232;none;none
yak;196;38;6.095361745354506;-3.670574841828229
ykc;67;153;none;none
