code;Day of Max;Day of Min;Amplitude Max;Amplitude Min
aaa;266;54;7.699625290799515;-8.149920944191527
aae;221;68;0.0055827982007374;-0.0046496532343561
abg;10;173;none;none
abk;237;1;none;none
aia;243;84;0.8223259925860577;-0.7589145674430824
ale;193;298;29.145657745270107;-23.65606395864807
ams;266;24;0.0067732079057438;-0.00656869061752
api;257;83;none;none
aqu;74;235;none;none
asc;268;336;none;none
asp;7;268;none;none
bdv;300;364;none;none
bel;223;70;none;none
bfe;364;0;none;none
bfo;159;32;none;none
blc;92;273;none;none
bmt;95;276;none;none
bng;82;184;0.0052489851077875;-0.0038783572838252
bou;355;3;none;none
box;237;39;0.0112626860332737;-0.0077831474126049
brw;181;7;none;none
bsl;11;314;0.0125546609535849;-0.0119802417537339
cbb;225;168;none;none
cki;21;108;0.8141761559976345;-1.106280365776919
clf;187;105;none;none
cmo;10;350;none;none
cnb;67;174;none;none
cpl;0;174;none;none
csy;3;173;none;none
cta;364;12;none;none
czt;233;43;0.0109670268474841;-0.0145674468029702
dlr;359;0;0.0310534488596333;-0.0165663781663172
dlt;329;6;0.0023631607344145;-0.0039120665297776
dou;78;248;none;none
drv;202;39;1.7853445039112177;-5.028873652639844
dur;220;107;5.759026596362853;-3.5575727043120176
ebr;281;82;0.5956181674653328;-0.6783681558899453
esk;6;300;none;none
eyr;0;363;0.0215826227557869;-0.027147062799331
fcc;120;247;2.196159008889728;-2.5629208938023917
frd;240;364;none;none
frn;241;62;0.0254263125042479;-0.016569351481684
fur;317;208;0.0043320677730964;-0.0045360190426636
gan;93;0;none;none
gck;124;284;11.290067422648152;-13.573837183361094
gdh;0;364;none;none
gln;56;364;none;none
gna;364;6;2.2161730054433515;-3.0566033638519827
gng;348;261;none;none
gua;171;271;none;none
gui;0;364;none;none
gzh;351;0;0.0030317017078049;-0.007756707526656
had;359;67;none;none
hbk;183;364;0.0065863650828645;-0.0075777298856059
her;364;193;none;none
hlp;364;83;1.450826574535247;-1.0002124978816682
hon;224;364;none;none
hrb;183;364;none;none
hrn;70;173;none;none
hua;179;321;0.0102758793435205;-0.0086795727568075
hyb;202;91;none;none
ipm;292;116;0.0084401127177297;-0.004774590107458
iqa;17;297;none;none
irt;252;88;0.0122703760038508;-0.0124711663524373
jco;364;165;0.0103669763644238;-0.0066799887051203
kak;192;342;none;none
kdu;364;228;none;none
kep;83;171;none;none
khb;167;116;none;none
kiv;91;257;7.3818391276257955;-7.810153058491048
kmh;40;364;0.0037912270990006;-0.0072612882408882
kny;230;5;0.0013388331905063;-0.0015769241978585
kou;308;179;none;none
ler;349;55;none;none
lon;165;0;0.0587066913177283;-0.1915272030229802
lov;242;0;0.669500213798225;-0.97924866405368
lrm;300;136;none;none
lvv;27;325;3.856442121770198;-3.813924306590131
lzh;181;363;none;none
mab;71;268;none;none
maw;213;1;0.9367007486481748;-1.4648830093771066
mbo;273;30;none;none
mcq;364;188;0.7814821146831191;-0.5181645970616319
mea;363;222;2.758971441194836;-3.6161174027126974
mgd;106;303;none;none
mid;0;100;0.0044128545188614;-0.0089193048380167
mmb;93;241;none;none
naq;334;208;0.0023498286205154;-0.0030709811699508
nck;0;299;none;none
new;297;0;none;none
ngk;90;269;none;none
nur;88;206;none;none
nvs;276;161;3.466985786539174;-3.508796527581445
ott;300;82;2.520383885439407;-2.641737397275977
paf;364;0;none;none
pag;68;243;none;none
pbq;150;0;4.135607348966886;-5.541477550746704
peg;248;364;0.0004935272153886;-0.0010229196173623
pet;241;26;none;none
phu;96;336;none;none
pil;338;3;0.0074694415860287;-0.0116470479139207
ppt;99;296;none;none
pst;344;0;none;none
qsb;254;123;none;none
res;101;231;4.216284677090468;-6.230819965908779
sba;233;364;0.0925796086768365;-0.1081578407124101
sbl;330;130;none;none
sfs;315;148;0.006709375115157;-0.0068623624929199
she;113;2;none;none
shu;152;0;none;none
sit;261;91;none;none
sjg;0;364;none;none
sod;248;112;0.6992072743737257;-0.505137138752781
spt;42;251;0.005593222046466;-0.0064528742816179
stj;70;212;none;none
sua;356;218;none;none
tam;277;51;0.0022826147004147;-0.0022571511025022
tan;144;354;0.0035157376702137;-0.0063066280406258
tdc;58;236;0.0039614340347366;-0.0067699678523357
thl;222;69;0.0047326790606938;-0.0037374341751493
thy;244;64;none;none
trw;364;0;none;none
tsu;215;64;none;none
tuc;0;181;0.0293177187306689;-0.0156134911005121
ups;105;14;none;none
val;0;351;0.0647964658389857;-0.0625428953081618
vic;306;119;none;none
vna;280;169;0.0048805494930093;-0.0058774807780229
vos;0;304;0.1376718462786718;-0.0873990329019574
vss;23;103;none;none
wng;363;177;none;none
yak;192;364;0.0069720111653861;-0.0113698419505183
ykc;191;67;none;none
