code;Day of Max;Day of Min;Amplitude Max;Amplitude Min
aaa;218;325;2.0474865634264403;-1.8995468789511505
aae;364;161;none;none
abg;364;103;none;none
abk;112;262;0.7539468485770778;-0.7258950298858269
aia;193;364;0.690959103940055;-1.325636389504807
ale;195;302;1.05104091220727;-1.665551897600989
ams;27;288;1.411612961197252;-0.927923794467329
api;223;343;none;none
aqu;101;0;0.6667688178331138;-0.7203319639539671
asc;267;1;none;none
asp;364;213;none;none
bdv;0;200;0.6449629338319587;-0.6259763997794167
bel;199;364;none;none
bfe;119;167;none;none
bfo;208;364;none;none
blc;70;239;2.711738604252173;-4.321583526863951
bmt;64;283;1.2866374621818977;-1.0684271674526822
bng;67;228;2.9333416355934343;-2.1658382428548144
bou;364;204;none;none
box;128;343;none;none
brw;90;233;2.8964387171787984;-3.5025205670591446
bsl;241;355;none;none
cbb;84;226;1.564126685450949;-2.6735289376917604
cki;364;0;none;none
clf;57;238;0.3754764283075627;-0.4860161456689253
cmo;44;244;none;none
cnb;187;0;none;none
cpl;0;174;none;none
csy;10;180;none;none
cta;190;20;none;none
czt;68;265;4.318119724733175;-3.8241041602550423
dlr;62;280;6.805524820738393;-4.801486667731084
dlt;363;126;3.756952823097603;-4.684934972562879
dou;0;362;none;none
drv;331;231;0.6218683957219845;-0.5167545773317606
dur;195;253;none;none
ebr;0;248;none;none
esk;7;224;none;none
eyr;364;235;none;none
fcc;60;240;4.703731608753139;-6.503431140487969
frd;54;257;5.775001884218732;-6.56825550809134
frn;336;175;7.393660769862623;-6.199332060805198
fur;66;257;1.2723359280173836;-1.5322061936202849
gan;93;0;none;none
gck;279;117;7.561065848005533;-5.315691458698031
gdh;71;226;none;none
gln;58;213;7.504325678878821;-6.955500112442695
gna;250;78;3.710961270086613;-3.705198942694617
gng;58;212;0.5339670786609012;-0.6641391455094119
gua;97;203;1.1778826148729769;-1.2537974508765843
gui;0;364;none;none
gzh;190;90;0.6591640074565569;-1.2469827828290363
had;50;234;none;none
hbk;4;198;none;none
her;0;224;none;none
hlp;329;204;none;none
hon;19;364;none;none
hrb;158;364;none;none
hrn;232;336;none;none
hua;180;315;1.0237234224077232;-0.8529842701081358
hyb;202;91;none;none
ipm;338;166;2.443184352790925;-2.8915100527365247
iqa;73;305;3.0751036804098555;-2.443145316263764
irt;53;292;none;none
jco;103;258;0.7716846662500599;-0.5409583125820435
kak;119;274;1.1783686939291915;-1.0959337914828773
kdu;284;227;none;none
kep;158;348;none;none
khb;229;83;none;none
kiv;41;350;1.309565592505346;-1.6578465788125714
kmh;168;3;0.4169701181576458;-0.5019900406177152
kny;82;309;0.568269301559346;-0.7626416783288367
kou;315;183;1.8284107864985013;-1.587102012992263
ler;95;259;none;none
lon;364;5;0.5425339323289159;-0.3687053509809247
lov;364;21;none;none
lrm;207;8;none;none
lvv;221;364;none;none
lzh;212;0;none;none
mab;0;230;none;none
maw;9;243;1.5586397045370717;-1.4665880477171491
mbo;219;364;none;none
mcq;364;249;none;none
mea;364;215;2.162171984325195;-2.61003556194903
mgd;65;247;1.7754188742226733;-2.250026720280906
mid;141;326;1.1192717504461078;-1.6700476512410365
mmb;150;273;1.0288280133779883;-1.202511513145646
naq;116;364;none;none
nck;49;238;6.915356448331171;-7.670886974534627
new;349;210;2.143907830751717;-2.104770358698864
ngk;1;152;none;none
nur;103;244;0.7780675240727672;-1.0238044476858847
nvs;218;46;1.8887588221828076;-1.832497524250767
ott;363;210;1.2769164413575074;-1.9023498570914013
paf;6;195;none;none
pag;0;166;none;none
pbq;268;117;0.6610560524700112;-0.705171850411849
peg;352;246;0.3351248753808911;-0.3512974585692643
pet;223;55;none;none
phu;76;336;none;none
pil;178;358;1.4938061137110028;-2.635586876122539
ppt;0;301;none;none
pst;0;333;none;none
qsb;34;198;3.584906883328705;-3.125258227738886
res;75;216;0.7122537432912062;-0.8962895397997753
sba;359;219;38.28731220341799;-29.14689831201756
sbl;82;243;1.982024878605344;-2.7285761803367223
sfs;167;353;0.3236818018964852;-0.4173088206267709
she;316;172;none;none
shu;6;228;3.56732753964578;-3.4076086577221907
sit;363;263;1.615990578014861;-1.8085194849908204
sjg;364;17;none;none
sod;305;183;none;none
spt;291;120;1.943642862508683;-1.872870298943183
stj;243;5;none;none
sua;0;345;none;none
tam;25;182;1.7669407028215982;-1.153298498329902
tan;0;311;3.161926606180317;-2.44270084842547
tdc;60;273;0.7800614386006705;-0.6599507278418347
thl;30;249;none;none
thy;0;243;none;none
trw;223;51;12.403915877752809;-11.851865326021482
tsu;356;200;none;none
tuc;171;53;2.2355387447893014;-2.506489479517325
ups;353;221;none;none
val;52;226;none;none
vic;364;227;2.279084192169704;-3.1172762497800184
vna;240;95;none;none
vos;91;149;0.8628370914897846;-0.7942242708287882
vss;326;45;none;none
wng;15;259;0.4338112575899468;-0.4848643361376382
yak;73;358;3.567940125078877;-4.665761349120518
ykc;67;179;none;none
