Day of Max,Day of Min,Amplitude Max,Amplitude Min,code
187,105,none,none,clf
91,257,7.3818391276257955,-7.810153058491048,kiv
308,179,none,none,kou
96,336,none,none,phu
83,171,none,none,kep
300,136,none,none,lrm
257,83,none,none,api
224,364,none,none,hon
306,119,none,none,vic
56,364,none,none,gln
292,116,0.0084401127177297,-0.004774590107458,ipm
95,276,none,none,bmt
243,84,0.8223259925860577,-0.7589145674430824,aia
254,123,none,none,qsb
92,273,none,none,blc
181,363,none,none,lzh
78,248,none,none,dou
191,67,none,none,ykc
215,64,none,none,tsu
192,364,0.0069720111653861,-0.0113698419505183,yak
261,91,none,none,sit
68,243,none,none,pag
364,0,none,none,bfe
364,165,0.0103669763644238,-0.0066799887051203,jco
241,62,0.0254263125042479,-0.016569351481684,frn
183,364,0.0065863650828645,-0.0075777298856059,hbk
105,14,none,none,ups
3,173,none,none,csy
10,173,none,none,abg
364,188,0.7814821146831191,-0.5181645970616319,mcq
7,268,none,none,asp
276,161,3.466985786539174,-3.508796527581445,nvs
364,193,none,none,her
120,247,2.196159008889728,-2.5629208938023917,fcc
338,3,0.0074694415860287,-0.0116470479139207,pil
167,116,none,none,khb
248,364,0.0004935272153886,-0.0010229196173623,peg
124,284,11.290067422648152,-13.573837183361094,gck
252,88,0.0122703760038508,-0.0124711663524373,irt
0,364,none,none,gdh
181,7,none,none,brw
364,228,none,none,kdu
213,1,0.9367007486481748,-1.4648830093771066,maw
42,251,0.005593222046466,-0.0064528742816179,spt
165,0,0.0587066913177283,-0.1915272030229802,lon
266,54,7.699625290799515,-8.149920944191527,aaa
351,0,0.0030317017078049,-0.007756707526656,gzh
202,39,1.7853445039112177,-5.028873652639844,drv
317,208,0.0043320677730964,-0.0045360190426636,fur
113,2,none,none,she
222,69,0.0047326790606938,-0.0037374341751493,thl
70,173,none,none,hrn
93,0,none,none,gan
266,24,0.0067732079057438,-0.00656869061752,ams
349,55,none,none,ler
233,43,0.0109670268474841,-0.0145674468029702,czt
74,235,none,none,aqu
183,364,none,none,hrb
363,222,2.758971441194836,-3.6161174027126974,mea
40,364,0.0037912270990006,-0.0072612882408882,kmh
179,321,0.0102758793435205,-0.0086795727568075,hua
268,336,none,none,asc
330,130,none,none,sbl
233,364,0.0925796086768365,-0.1081578407124101,sba
273,30,none,none,mbo
71,268,none,none,mab
297,0,none,none,new
241,26,none,none,pet
193,298,29.145657745270107,-23.65606395864807,ale
300,364,none,none,bdv
171,271,none,none,gua
359,0,0.0310534488596333,-0.0165663781663172,dlr
223,70,none,none,bel
242,0,0.669500213798225,-0.97924866405368,lov
0,351,0.0647964658389857,-0.0625428953081618,val
6,300,none,none,esk
101,231,4.216284677090468,-6.230819965908779,res
0,364,none,none,sjg
348,261,none,none,gng
11,314,0.0125546609535849,-0.0119802417537339,bsl
82,184,0.0052489851077875,-0.0038783572838252,bng
364,83,1.450826574535247,-1.0002124978816682,hlp
344,0,none,none,pst
281,82,0.5956181674653328,-0.6783681558899453,ebr
10,350,none,none,cmo
67,174,none,none,cnb
244,64,none,none,thy
0,304,0.1376718462786718,-0.0873990329019574,vos
99,296,none,none,ppt
356,218,none,none,sua
248,112,0.6992072743737257,-0.505137138752781,sod
0,100,0.0044128545188614,-0.0089193048380167,mid
159,32,none,none,bfo
240,364,none,none,frd
23,103,none,none,vss
364,12,none,none,cta
58,236,0.0039614340347366,-0.0067699678523357,tdc
364,0,none,none,trw
70,212,none,none,stj
192,342,none,none,kak
225,168,none,none,cbb
202,91,none,none,hyb
334,208,0.0023498286205154,-0.0030709811699508,naq
237,1,none,none,abk
27,325,3.856442121770198,-3.813924306590131,lvv
0,181,0.0293177187306689,-0.0156134911005121,tuc
220,107,5.759026596362853,-3.5575727043120176,dur
363,177,none,none,wng
364,6,2.2161730054433515,-3.0566033638519827,gna
88,206,none,none,nur
0,364,none,none,gui
0,299,none,none,nck
277,51,0.0022826147004147,-0.0022571511025022,tam
106,303,none,none,mgd
21,108,0.8141761559976345,-1.106280365776919,cki
230,5,0.0013388331905063,-0.0015769241978585,kny
93,241,none,none,mmb
144,354,0.0035157376702137,-0.0063066280406258,tan
237,39,0.0112626860332737,-0.0077831474126049,box
221,68,0.0055827982007374,-0.0046496532343561,aae
315,148,0.006709375115157,-0.0068623624929199,sfs
355,3,none,none,bou
329,6,0.0023631607344145,-0.0039120665297776,dlt
150,0,4.135607348966886,-5.541477550746704,pbq
359,67,none,none,had
0,363,0.0215826227557869,-0.027147062799331,eyr
0,174,none,none,cpl
300,82,2.520383885439407,-2.641737397275977,ott
17,297,none,none,iqa
280,169,0.0048805494930093,-0.0058774807780229,vna
90,269,none,none,ngk
364,0,none,none,paf
152,0,none,none,shu
