code;Period_y;;;;;;;;
aaa;356.9090909090909;;;;;;;;
aae;364.3333333333333;;;;;;;;
abg;342.7083333333333;;;;;;;;
abk;365.1538461538461;;;;;;;;
aia;365.0;;;;;;;;
ale;356.25;;;;;;;;
ams;364.65;;;;;;;;
api;327.8181818181818;;;;;;;;
aqu;364.4;;;;;;;;
asc;328.55000000000007;;;;;;;;
asp;;;;;;;;;
bdv;327.0;;;;;;;;
bel;;;;;;;;;
bfe;;;;;;;;;
bfo;;;;;;;;;
blc;;;;;;;;;
bmt;;;;;;;;;
bng;388.6428571428572;;;;;;;;
bou;;;;;;;;;
box;362.0588235294117;;;;;;;;
brw;392.07692307692304;;;;;;;;
bsl;;;;;;;;;
cbb;376.2962962962963;;;;;;;;
cki;;;;;;;;;
clf;364.551724137931;;;;;;;;
cmo;393.5;;;;;;;;
cnb;364.5357142857142;;;;;;;;
cpl;;;;;;;;;
csy;;;;;;;;;
cta;;;;;;;;;
czt;364.9130434782609;;;;;;;;
dlr;357.625;;;;;;;;
dlt;;;;;;;;;
dou;365.1666666666666;;;;;;;;
drv;362.25;;;;;;;;
dur;363.6;;;;;;;;
ebr;364.578947368421;;;;;;;;
esk;;;;;;;;;
eyr;;;;;;;;;
fcc;362.6206896551724;;;;;;;;
frd;;;;;;;;;
frn;362.2222222222222;;;;;;;;
fur;363.0;;;;;;;;
gan;;;;;;;;;
gck;364.1428571428572;;;;;;;;
gdh;;;;;;;;;
gln;;;;;;;;;
gna;362.27777777777777;;;;;;;;
gng;327.9;;;;;;;;
gua;;;;;;;;;
gui;;;;;;;;;
gzh;;;;;;;;;
had;;;;;;;;;
hbk;362.8636363636363;;;;;;;;
her;;;;;;;;;
hlp;;;;;;;;;
hon;;;;;;;;;
hrb;;;;;;;;;
hrn;362.5263157894736;;;;;;;;
hua;364.0526315789474;;;;;;;;
hyb;;;;;;;;;
ipm;315.0;;;;;;;;
iqa;362.5;;;;;;;;
irt;376.8571428571429;;;;;;;;
jco;;;;;;;;;
kak;;;;;;;;;
kdu;;;;;;;;;
kep;;;;;;;;;
khb;;;;;;;;;
kiv;363.5454545454546;;;;;;;;
kmh;;;;;;;;;
kny;359.05;;;;;;;;
kou;;;;;;;;;
ler;;;;;;;;;
lon;362.0;;;;;;;;
lov;364.45454545454544;;;;;;;;
lrm;343.49999999999994;;;;;;;;
lvv;361.125;;;;;;;;
lzh;;;;;;;;;
mab;;;;;;;;;
maw;364.06250000000006;;;;;;;;
mbo;;;;;;;;;
mcq;364.25000000000006;;;;;;;;
mea;361.41379310344826;;;;;;;;
mgd;365.75;;;;;;;;
mid;;;;;;;;;
mmb;362.8571428571428;;;;;;;;
naq;378.9166666666667;;;;;;;;
nck;;;;;;;;;
new;;;;;;;;;
ngk;364.96;;;;;;;;
nur;364.61538461538464;;;;;;;;
nvs;354.88235294117646;;;;;;;;
ott;362.4137931034483;;;;;;;;
paf;;;;;;;;;
pag;389.3076923076923;;;;;;;;
pbq;381.3333333333333;;;;;;;;
peg;353.6666666666667;;;;;;;;
pet;364.00000000000006;;;;;;;;
phu;;;;;;;;;
pil;364.375;;;;;;;;
ppt;368.0384615384616;;;;;;;;
pst;;;;;;;;;
qsb;;;;;;;;;
res;363.0689655172414;;;;;;;;
sba;380.090909090909;;;;;;;;
sbl;;;;;;;;;
sfs;;;;;;;;;
she;;;;;;;;;
shu;;;;;;;;;
sit;;;;;;;;;
sjg;;;;;;;;;
sod;365.1071428571428;;;;;;;;
spt;381.0952380952381;;;;;;;;
stj;363.4137931034483;;;;;;;;
sua;;;;;;;;;
tam;375.962962962963;;;;;;;;
tan;356.92857142857144;;;;;;;;
tdc;378.77777777777777;;;;;;;;
thl;364.28571428571433;;;;;;;;
thy;;;;;;;;;
trw;359.50000000000006;;;;;;;;
tsu;;;;;;;;;
tuc;363.1923076923077;;;;;;;;
ups;;;;;;;;;
val;;;;;;;;;
vic;;;;;;;;;
vna;360.2857142857143;;;;;;;;
vos;;;;;;;;;
vss;;;;;;;;;
wng;;;;;;;;;
yak;364.00000000000006;;;;;;;;
ykc;;;;;;;;;
