code;Period_z;;;;;;;;;
aaa;356.9090909090909;;;;;;;;;
aae;364.3333333333333;;;;;;;;;
abg;;;;;;;;;;
abk;;;;;;;;;;
aia;365.0;;;;;;;;;
ale;;;;;;;;;;
ams;364.65;;;;;;;;;
api;;;;;;;;;;
aqu;364.4;;;;;;;;;
asc;;;;;;;;;;
asp;;;;;;;;;;
bdv;363.3333333333333;;;;;;;;;
bel;;;;;;;;;;
bfe;388.4;;;;;;;;;
bfo;;;;;;;;;;
blc;361.4285714285714;;;;;;;;;
bmt;349.12500000000006;;;;;;;;;
bng;;;;;;;;;;
bou;;;;;;;;;;
box;;;;;;;;;;
brw;364.07142857142856;;;;;;;;;
bsl;;;;;;;;;;
cbb;362.8571428571428;;;;;;;;;
cki;;;;;;;;;;
clf;364.551724137931;;;;;;;;;
cmo;363.2307692307693;;;;;;;;;
cnb;364.5357142857142;;;;;;;;;
cpl;;;;;;;;;;
csy;365.8181818181818;;;;;;;;;
cta;;;;;;;;;;
czt;364.9130434782609;;;;;;;;;
dlr;357.625;;;;;;;;;
dlt;352.2857142857143;;;;;;;;;
dou;;;;;;;;;;
drv;;;;;;;;;;
dur;303.00000000000006;;;;;;;;;
ebr;384.8333333333333;;;;;;;;;
esk;363.6206896551724;;;;;;;;;
eyr;;;;;;;;;;
fcc;362.6206896551724;;;;;;;;;
frd;361.21428571428567;;;;;;;;;
frn;376.1538461538461;;;;;;;;;
fur;363.0;;;;;;;;;
gan;;;;;;;;;;
gck;364.1428571428572;;;;;;;;;
gdh;364.3846153846154;;;;;;;;;
gln;386.8;;;;;;;;;
gna;362.27777777777777;;;;;;;;;
gng;327.9;;;;;;;;;
gua;;;;;;;;;;
gui;;;;;;;;;;
gzh;311.85714285714283;;;;;;;;;
had;;;;;;;;;;
hbk;362.8636363636363;;;;;;;;;
her;;;;;;;;;;
hlp;363.6666666666667;;;;;;;;;
hon;;;;;;;;;;
hrb;;;;;;;;;;
hrn;;;;;;;;;;
hua;384.2777777777778;;;;;;;;;
hyb;;;;;;;;;;
ipm;315.0;;;;;;;;;
iqa;;;;;;;;;;
irt;395.7;;;;;;;;;
jco;365.0;;;;;;;;;
kak;362.1724137931035;;;;;;;;;
kdu;;;;;;;;;;
kep;;;;;;;;;;
khb;324.6666666666667;;;;;;;;;
kiv;399.9;;;;;;;;;
kmh;;;;;;;;;;
kny;359.05;;;;;;;;;
kou;362.36;;;;;;;;;
ler;364.0;;;;;;;;;
lon;362.0;;;;;;;;;
lov;;;;;;;;;;
lrm;343.49999999999994;;;;;;;;;
lvv;361.125;;;;;;;;;
lzh;;;;;;;;;;
mab;;;;;;;;;;
maw;364.06250000000006;;;;;;;;;
mbo;;;;;;;;;;
mcq;364.25000000000006;;;;;;;;;
mea;361.41379310344826;;;;;;;;;
mgd;365.75;;;;;;;;;
mid;364.0;;;;;;;;;
mmb;390.7692307692308;;;;;;;;;
naq;349.7692307692308;;;;;;;;;
nck;362.8846153846154;;;;;;;;;
new;362.1071428571428;;;;;;;;;
ngk;364.96;;;;;;;;;
nur;364.61538461538464;;;;;;;;;
nvs;354.88235294117646;;;;;;;;;
ott;362.4137931034483;;;;;;;;;
paf;334.37500000000006;;;;;;;;;
pag;337.4;;;;;;;;;
pbq;381.3333333333333;;;;;;;;;
peg;353.6666666666667;;;;;;;;;
pet;364.00000000000006;;;;;;;;;
phu;;;;;;;;;;
pil;364.375;;;;;;;;;
ppt;354.4074074074074;;;;;;;;;
pst;;;;;;;;;;
qsb;358.25;;;;;;;;;
res;363.0689655172414;;;;;;;;;
sba;363.5652173913043;;;;;;;;;
sbl;365.25000000000006;;;;;;;;;
sfs;357.5;;;;;;;;;
she;357.3636363636363;;;;;;;;;
shu;362.5625;;;;;;;;;
sit;362.5;;;;;;;;;
sjg;;;;;;;;;;
sod;378.6296296296296;;;;;;;;;
spt;363.77272727272725;;;;;;;;;
stj;363.4137931034483;;;;;;;;;
sua;;;;;;;;;;
tam;362.5357142857143;;;;;;;;;
tan;;;;;;;;;;
tdc;378.77777777777777;;;;;;;;;
thl;364.28571428571433;;;;;;;;;
thy;;;;;;;;;;
trw;359.50000000000006;;;;;;;;;
tsu;365.4666666666666;;;;;;;;;
tuc;377.72;;;;;;;;;
ups;365.5882352941176;;;;;;;;;
val;343.8333333333333;;;;;;;;;
vic;361.93103448275866;;;;;;;;;
vna;;;;;;;;;;
vos;316.5;;;;;;;;;
vss;363.1578947368421;;;;;;;;;
wng;364.7777777777778;;;;;;;;;
yak;364.00000000000006;;;;;;;;;
ykc;;;;;;;;;;
