Day of Max,Day of Min,Amplitude Max,Amplitude Min,code
222,16,none,none,clf
28,186,2.710107806469103,-3.49318926707422,kiv
211,0,none,none,kou
344,171,none,none,phu
80,302,0.3009081378344275,-0.379649101960492,kep
92,228,none,none,lrm
338,54,none,none,api
41,364,none,none,hon
3,240,none,none,vic
110,225,8.541352225263715,-5.305932837984194,gln
321,80,2.2053390516141294,-2.068164316730162,ipm
183,361,none,none,bmt
199,14,1.6074895505081577,-1.930308761624612,aia
93,258,none,none,qsb
192,59,none,none,blc
0,209,none,none,lzh
42,264,none,none,dou
67,153,none,none,ykc
180,314,none,none,tsu
196,38,6.095361745354506,-3.670574841828229,yak
221,315,none,none,sit
102,364,none,none,pag
234,89,0.5370837162801094,-0.6025775635203854,bfe
73,163,none,none,jco
364,0,none,none,frn
264,364,none,none,hbk
364,221,0.1662044345806575,-0.1786453699408722,ups
50,237,none,none,csy
364,59,none,none,abg
340,117,none,none,mcq
364,246,none,none,asp
51,277,2.869324108269545,-3.175237984913837,nvs
184,52,none,none,her
193,73,none,none,fcc
260,59,3.557682084873645,-3.185207239869205,pil
180,129,none,none,khb
103,180,0.3953206857426168,-0.4245603469531267,peg
110,279,10.63132521647217,-14.095595987612803,gck
364,201,3.515111707731138,-2.413695978596552,irt
8,325,none,none,gdh
136,332,none,none,brw
306,228,none,none,kdu
212,25,none,none,maw
152,349,2.3696396202605343,-3.015998559947032,spt
167,0,0.3358809113330044,-1.0519133936929153,lon
274,95,none,none,aaa
334,76,2.882502968864646,-2.918479367749825,gzh
32,121,4.198933969559112,-1.4312829917775187,drv
54,228,1.261341178870937,-1.5257778330532157,fur
4,341,none,none,she
292,82,0.350085468775375,-0.3794869560489265,thl
246,125,2.6650263437324573,-2.335425459573052,hrn
93,0,none,none,gan
105,278,none,none,ams
77,234,none,none,ler
22,234,1.7928932624728648,-1.664716673619764,czt
275,91,1.1475311080092692,-1.004120369486543,aqu
4,184,none,none,hrb
19,217,2.7719675122355425,-2.620269665331623,mea
210,39,1.5384561762057114,-1.6593470063996545,kmh
198,364,0.9718325470985454,-0.7096540494776377,hua
57,182,none,none,asc
364,237,0.995316034379394,-0.8601127472744323,sbl
243,17,28.28047516861557,-38.103962896634656,sba
284,84,1.5556688716451326,-1.2509163131172447,mbo
237,54,none,none,mab
96,364,none,none,new
54,232,none,none,pet
194,58,28.574857847604036,-20.71090076525417,ale
364,213,none,none,bdv
361,1,none,none,gua
104,354,6.420938407375029,-6.453450728941436,dlr
250,138,none,none,bel
112,278,1.2874550088487904,-1.517682173432552,lov
361,226,none,none,val
7,301,none,none,esk
105,209,none,none,res
17,364,none,none,sjg
358,48,none,none,gng
66,312,none,none,bsl
328,162,1.6667427019114855,-2.052500167296325,bng
248,40,0.9561088023003464,-1.0482378560323968,hlp
333,0,none,none,pst
0,360,none,none,ebr
62,283,none,none,cmo
118,282,2.539853297107086,-2.523085260266215,cnb
284,83,none,none,thy
292,59,6.2872966239277535,-8.346196149125692,vos
177,284,none,none,ppt
307,8,none,none,sua
264,105,none,none,sod
43,51,1.7236190430663574,-2.0041000545364067,mid
364,208,none,none,bfo
49,219,none,none,frd
179,363,none,none,vss
364,20,none,none,cta
236,22,none,none,tdc
364,0,none,none,trw
358,235,none,none,stj
70,236,1.000473102886372,-1.201200036541639,kak
225,65,7.482917141450181,-5.863456080807895,cbb
212,91,none,none,hyb
103,337,none,none,naq
181,1,none,none,abk
267,195,none,none,lvv
1,239,4.993866930626546,-4.200090510333002,tuc
0,200,5.718529439471853,-7.733643306983553,dur
95,232,none,none,wng
115,278,5.399660034414272,-4.514132316311671,gna
114,348,none,none,nur
0,364,none,none,gui
58,242,4.672330340994002,-5.961994484920867,nck
269,2,0.8101669073876536,-1.702589054828079,tam
93,283,1.594066354734013,-1.8665224873080544,mgd
2,108,0.7417623689478786,-0.3726731534009311,cki
32,230,none,none,kny
66,351,none,none,mmb
215,71,1.8891012979113255,-1.428208373774049,tan
346,136,1.9952388380373296,-2.242897704681018,box
333,132,none,none,aae
355,197,0.7487789842938734,-0.494609454945311,sfs
1,364,none,none,bou
7,191,1.2172585339701592,-0.8158439275442675,dlt
89,0,3.5146254820816862,-2.517674208004024,pbq
69,252,none,none,had
155,364,none,none,eyr
174,0,30.14776761716829,-22.9087945344328,cpl
105,220,1.6824158366767583,-2.494923452206542,ott
99,265,3.59987803678425,-3.3956672072629206,iqa
300,363,none,none,vna
1,238,none,none,ngk
145,20,none,none,paf
360,1,none,none,shu
