code;Period_x;;;;;;;;;
aaa;392.6;;;;;;;;;
aae;364.3333333333333;;;;;;;;;
abg;;;;;;;;;;
abk;;;;;;;;;;
aia;365.0;;;;;;;;;
ale;356.25;;;;;;;;;
ams;364.65;;;;;;;;;
api;;;;;;;;;;
aqu;364.4;;;;;;;;;
ars;;;;;;;;;;
asc;328.55000000000007;;;;;;;;;
asp;364.6363636363637;;;;;;;;;
bdv;363.3333333333333;;;;;;;;;
bel;;;;;;;;;;
bfe;364.125;;;;;;;;;
bfo;;;;;;;;;;
blc;;;;;;;;;;
bmt;364.304347826087;;;;;;;;;
bng;;;;;;;;;;
bou;;;;;;;;;;
box;;;;;;;;;;
brd;353.57142857142856;;;;;;;;;
brw;351.5172413793103;;;;;;;;;
bsl;;;;;;;;;;
cbb;362.8571428571428;;;;;;;;;
cki;;;;;;;;;;
clf;;;;;;;;;;
cmo;363.2307692307693;;;;;;;;;
cnb;364.5357142857142;;;;;;;;;
cpl;;;;;;;;;;
csy;;;;;;;;;;
cta;;;;;;;;;;
cyg;349.5;;;;;;;;;
czt;364.9130434782609;;;;;;;;;
ded;;;;;;;;;;
dlr;357.625;;;;;;;;;
dlt;352.2857142857143;;;;;;;;;
dmc;;;;;;;;;;
dou;;;;;;;;;;
drv;362.25;;;;;;;;;
dur;363.6;;;;;;;;;
ebr;;;;;;;;;;
esk;;;;;;;;;;
eyr;378.1538461538462;;;;;;;;;
fcc;362.6206896551724;;;;;;;;;
frd;;;;;;;;;;
frn;;;;;;;;;;
fur;363.0;;;;;;;;;
gan;;;;;;;;;;
gck;364.1428571428572;;;;;;;;;
gdh;350.88888888888886;;;;;;;;;
gln;322.3333333333333;;;;;;;;;
gna;343.2105263157895;;;;;;;;;
gng;;;;;;;;;;
gua;;;;;;;;;;
gui;;;;;;;;;;
gzh;363.8333333333333;;;;;;;;;
had;352.8;;;;;;;;;
hbk;;;;;;;;;;
her;363.7857142857143;;;;;;;;;
hlp;385.05882352941177;;;;;;;;;
hon;374.0;;;;;;;;;
hrb;;;;;;;;;;
hrn;362.5263157894736;;;;;;;;;
hua;364.0526315789474;;;;;;;;;
hyb;;;;;;;;;;
ipm;354.375;;;;;;;;;
iqa;362.5;;;;;;;;;
irt;359.72727272727275;;;;;;;;;
izn;362.87500000000006;;;;;;;;;
jai;362.6666666666667;;;;;;;;;
jco;;;;;;;;;;
kak;362.1724137931035;;;;;;;;;
kdu;;;;;;;;;;
kep;;;;;;;;;;
khb;;;;;;;;;;
kiv;363.5454545454546;;;;;;;;;
kmh;310.42857142857144;;;;;;;;;
kny;359.05;;;;;;;;;
kou;362.36;;;;;;;;;
ler;364.0;;;;;;;;;
lnp;330.00000000000006;;;;;;;;;
lon;;;;;;;;;;
lov;364.45454545454544;;;;;;;;;
lrm;343.49999999999994;;;;;;;;;
lvv;;;;;;;;;;
lyc;353.5;;;;;;;;;
lzh;371.2222222222223;;;;;;;;;
mab;;;;;;;;;;
maw;;;;;;;;;;
mbc;317.6666666666667;;;;;;;;;
mbo;368.3076923076923;;;;;;;;;
mcq;;;;;;;;;;
mea;361.41379310344826;;;;;;;;;
mgd;365.75;;;;;;;;;
mid;;;;;;;;;;
mmb;362.8571428571428;;;;;;;;;
naq;;;;;;;;;;
nck;362.8846153846154;;;;;;;;;
new;;;;;;;;;;
ngk;380.1666666666667;;;;;;;;;
nur;395.0;;;;;;;;;
nvs;354.88235294117646;;;;;;;;;
orc;371.5;;;;;;;;;
ott;362.4137931034483;;;;;;;;;
paf;364.77272727272725;;;;;;;;;
pag;;;;;;;;;;
pbq;357.5;;;;;;;;;
peg;353.6666666666667;;;;;;;;;
pet;364.00000000000006;;;;;;;;;
phu;;;;;;;;;;
pil;364.375;;;;;;;;;
ppt;;;;;;;;;;
pst;;;;;;;;;;
qsb;;;;;;;;;;
res;319.06060606060606;;;;;;;;;
sba;363.5652173913043;;;;;;;;;
sbl;365.25000000000006;;;;;;;;;
sfs;381.3333333333333;;;;;;;;;
she;;;;;;;;;;
shu;;;;;;;;;;
sit;;;;;;;;;;
sjg;;;;;;;;;;
sod;365.1071428571428;;;;;;;;;
spg;;;;;;;;;;
spt;381.0952380952381;;;;;;;;;
stj;;;;;;;;;;
stt;;;;;;;;;;
sua;;;;;;;;;;
tam;;;;;;;;;;
tan;356.92857142857144;;;;;;;;;
tdc;340.9;;;;;;;;;
teo;336.5714285714286;;;;;;;;;
thl;364.28571428571433;;;;;;;;;
thy;376.7777777777777;;;;;;;;;
trw;359.50000000000006;;;;;;;;;
tsu;365.4666666666666;;;;;;;;;
ttb;340.3333333333333;;;;;;;;;
tuc;363.1923076923077;;;;;;;;;
ups;365.5882352941176;;;;;;;;;
val;386.81250000000006;;;;;;;;;
vic;;;;;;;;;;
vna;;;;;;;;;;
vos;361.7142857142857;;;;;;;;;
vss;;;;;;;;;;
wic;;;;;;;;;;
wng;351.75;;;;;;;;;
yak;364.00000000000006;;;;;;;;;
ykc;;;;;;;;;;
