code,Period_1,Period_2,Period_3,Period_4,Period_5,Period_6,Period_7,Period_8,Period_9,Period_10
aaa,981.5,392.6,230.94117647058823,186.95238095238096,,,,,,
aae,2732.4999999999995,1366.2499999999998,364.3333333333333,,,,,,,
abg,2741.6666666666665,,,,,,,,,
abk,3164.6666666666665,863.0909090909091,,,,,,,,
aia,2068.333333333333,689.4444444444445,365.0,,,,,,,
ale,356.25,,,,,,,,,
ams,3646.5,1458.6,455.8125,364.65,,,,,,
api,2404.0000000000005,655.6363636363636,,,,,,,,
aqu,1822.0,607.3333333333334,364.4,303.6666666666667,,,,,,
ars,217.2,,,,,,,,,
asc,2190.333333333333,730.1111111111112,547.5833333333334,410.6875,328.55000000000007,252.73076923076923,193.26470588235296,172.92105263157893,149.3409090909091,
asp,4011.0,1604.4,617.0769230769231,401.1,364.6363636363637,,,,,
bdv,3270.0,1226.25,981.0,363.3333333333333,,,,,,
bel,3145.6666666666665,,,,,,,,,
bfe,1941.9999999999995,970.9999999999998,485.4999999999999,364.125,,,,,,
bfo,1581.3333333333333,,,,,,,,,
blc,1686.6666666666667,1012.0,674.6666666666666,,,,,,,
bmt,1197.0,558.6000000000001,364.304347826087,279.30000000000007,,,,,,
bng,1813.6666666666667,1088.2,,,,,,,,
bou,3386.0,,,,,,,,,
box,2051.6666666666665,,,,,,,,,
brd,825.0,353.57142857142856,,,,,,,,
brw,2038.8,351.5172413793103,,,,,,,,
bsl,3133.3333333333326,1044.4444444444443,,,,,,,,
cbb,1693.3333333333337,781.5384615384617,362.8571428571428,,,,,,,
cki,704.0000000000001,402.28571428571433,201.1428571428572,,,,,,,
clf,5286.0,2114.4,755.1428571428571,,,,,,,
cmo,3148.0,363.2307692307693,,,,,,,,
cnb,5103.499999999999,1701.1666666666667,463.95454545454544,364.5357142857142,,,,,,
cpl,455.75,,,,,,,,,
csy,1341.3333333333333,447.1111111111111,223.5555555555556,143.71428571428572,,,,,,
cta,2548.6666666666665,1092.2857142857142,849.5555555555555,,,,,,,
cyg,349.5,,,,,,,,,
czt,2797.6666666666665,364.9130434782609,,,,,,,,
ded,838.6666666666666,251.60000000000005,,,,,,,,
dlr,1907.3333333333333,1144.4,715.25,572.2,357.625,,,,,
dlt,822.0,352.2857142857143,224.18181818181816,,,,,,,
dmc,108.66666666666669,,,,,,,,,
dou,2191.0,,,,,,,,,
drv,3622.5,1449.0,362.25,181.125,120.75,,,,,
dur,363.6,,,,,,,,,
ebr,3463.5,629.7272727272726,,,,,,,,
esk,3514.999999999999,1757.4999999999995,,,,,,,,
eyr,2458.0,1404.5714285714284,655.4666666666667,491.6,378.1538461538462,,,,,
fcc,3505.3333333333326,701.0666666666667,553.4736842105264,457.21739130434776,362.6206896551724,,,,,
frd,3371.333333333333,,,,,,,,,
frn,3259.999999999999,,,,,,,,,
fur,2904.0,1452.0,363.0,,,,,,,
gan,727.0000000000001,,,,,,,,,
gck,1699.3333333333333,364.1428571428572,,,,,,,,
gdh,3158.0,1052.6666666666663,728.7692307692308,557.2941176470588,411.9130434782608,350.88888888888886,305.6129032258064,185.76470588235293,,
gln,967.0,483.5,322.3333333333333,214.88888888888889,175.81818181818184,128.93333333333334,113.76470588235294,96.7,62.38709677419354,58.60606060606061
gna,1630.25,724.5555555555555,543.4166666666666,343.2105263157895,,,,,,
gng,1093.0,409.875,204.9375,,,,,,,
gua,4896.0,1398.857142857143,,,,,,,,
gui,1911.25,,,,,,,,,
gzh,363.8333333333333,,,,,,,,,
had,3528.0,352.8,,,,,,,,
hbk,3991.5,1596.6,887.0,,,,,,,
her,2546.5,363.7857142857143,,,,,,,,
hlp,3273.0,1309.2,935.1428571428572,385.05882352941177,,,,,,
hon,3366.0,1683.0,776.7692307692307,374.0,,,,,,
hrb,2911.9999999999995,1747.2,,,,,,,,
hrn,2296.0,688.8,362.5263157894736,,,,,,,
hua,2305.6666666666665,364.0526315789474,,,,,,,,
hyb,1203.0,,,,,,,,,
ipm,708.75,354.375,149.21052631578948,,,,,,,
iqa,2899.9999999999995,1087.5,790.9090909090909,362.5,334.6153846153846,,,,,
irt,1978.5,791.4,359.72727272727275,,,,,,,
izn,362.87500000000006,,,,,,,,,
jai,362.6666666666667,,,,,,,,,
jco,851.6666666666666,511.0,232.27272727272728,,,,,,,
kak,3501.0,1750.5,1050.3,362.1724137931035,,,,,,
kdu,2542.333333333333,,,,,,,,,
kep,965.3333333333334,413.7142857142858,289.6,206.8571428571429,144.8,,,,,
khb,1461.0000000000002,,,,,,,,,
kiv,1333.0,363.5454545454546,,,,,,,,
kmh,1086.5,310.42857142857144,,,,,,,,
kny,3590.5,359.05,,,,,,,,
kou,1811.8,754.9166666666666,362.36,181.18,,,,,,
ler,3397.333333333333,849.3333333333334,364.0,,,,,,,
lnp,330.00000000000006,,,,,,,,,
lon,543.0,,,,,,,,,
lov,801.8,364.45454545454544,,,,,,,,
lrm,2061.0,343.49999999999994,,,,,,,,
lvv,1926.0,825.4285714285713,,,,,,,,
lyc,1414.0,606.0000000000001,353.5,,,,,,,
lzh,2227.333333333333,371.2222222222223,334.1,,,,,,,
mab,1946.6666666666667,417.1428571428572,,,,,,,,
maw,2912.5000000000005,1165.0000000000002,582.5000000000001,448.0769230769232,,,,,,
mbc,635.3333333333334,317.6666666666667,,,,,,,,
mbo,2394.0,416.34782608695656,368.3076923076923,,,,,,,
mcq,2428.333333333333,455.3125,,,,,,,,
mea,2620.2499999999995,1164.5555555555554,361.41379310344826,,,,,,,
mgd,365.75,,,,,,,,,
mid,546.0,273.0,72.8,45.49999999999999,,,,,,
mmb,2540.0,362.8571428571428,,,,,,,,
naq,3031.333333333333,1818.8,,,,,,,,
nck,3145.0,786.25,362.8846153846154,,,,,,,
new,5069.5,1267.375,921.7272727272726,,,,,,,
ngk,3041.333333333333,1520.6666666666667,536.7058823529412,380.1666666666667,,,,,,
nur,3160.0,395.0,,,,,,,,
nvs,861.8571428571429,354.88235294117646,182.8181818181818,,,,,,,
orc,371.5,106.14285714285714,,,,,,,,
ott,1751.6666666666667,362.4137931034483,,,,,,,,
paf,1337.5000000000002,364.77272727272725,,,,,,,,
pag,1687.0,,,,,,,,,
pbq,1906.6666666666667,357.5,184.51612903225808,,,,,,,
peg,353.6666666666667,,,,,,,,,
pet,1183.0,364.00000000000006,,,,,,,,
phu,2757.333333333333,,,,,,,,,
pil,971.6666666666666,364.375,208.2142857142857,,,,,,,
ppt,4784.5,1594.8333333333333,1063.2222222222222,797.4166666666666,,,,,,
pst,3278.5,,,,,,,,,
